CustomerID,CustomerName,country
3939,Agnes Trub,Germany
1841,Veronica Naser,Germany
8381,Elizabeth Chapman,United States
8438,Zacharie Rey,France
7594,Philippe-Richard Teixeira,France
8245,Éric-Stéphane Nguyen,France
1018,Henrike Bloch B.A.,Germany
8560,Moisés Correa Valentín,Spain
1042,Miroslawa Huhn,Germany
4912,Fátima Guillen-Reig,Spain
8486,Emilio Platini,Italy
2612,Helfried Geisel,Germany
3344,Dipl.-Ing. Marco Hermighausen MBA.,Germany
4886,Lea Klemt-Rust,Germany
6977,Benjamin Collet,France
7511,Mathilde Robin-Delaunay,France
8606,Moreno Hernando Carnero Chaves,Spain
7797,Sigfrido Tovar Raya,Spain
2501,Marijan Segebahn B.Sc.,Germany
9850,Sabas Díaz-Canet,Spain
1710,Madeleine du Weiss,France
5831,Ligia Ros Cabezas,Spain
8770,Carlo Bresciani,Italy
6119,Caroline Verdier,France
7566,Elmo Baglioni,Italy
7947,María Dolores Salamanca Ribas,Spain
3248,Donna Wilson,United States
7626,Ing. Belinda Ladeck,Germany
4630,Denise Garnier,France
6295,Greca Coppola-Rosselli,Italy
