OrderID,Date,ProductID,CustomerID,ShippingAddressID,IBAN,Qty,UnitPrice
10000,2025-01-04,489,8438,4,GB36DAXI33218196001338,3,494
10001,2024-12-20,132,8560,38,GB30ARGW86379402654235,1,202
10002,2024-06-09,266,6119,19,GB18CMDL59407816184959,1,334
10003,2024-07-14,171,4886,8,GB37WCBV34131647525534,1,496
10004,2025-01-28,32,1018,7,GB17VUCT28327648350305,5,600
10005,2024-10-03,396,3939,1,GB68ICGS53767242388496,2,596
10006,2025-04-14,373,1710,16,GB62SMLH28710122691669,4,573
10007,2024-10-29,132,6977,8,GB34QIRA18451462704828,3,202
10008,2025-04-20,1,7566,24,GB05DUJU89325288095701,4,1200
10009,2025-04-26,703,1042,39,GB30LZJH03911718227824,2,736
10010,2024-11-21,703,8438,4,GB03TNGR34657871331509,4,736
10011,2024-12-02,64,2612,7,GB23HSHA10310518347382,5,1400
10012,2025-02-05,617,7947,5,GB82SSPH76311656670106,4,256
10013,2025-02-07,733,8438,34,GB49KZDH33872624731781,1,444
10014,2024-05-20,733,4912,10,GB86URAC32677360260647,3,444
10015,2024-08-19,171,1018,37,GB89NWXZ87234309805009,1,496
10016,2024-11-02,266,8560,38,GB38QQFB81219136193990,1,334
10017,2024-12-27,132,7626,6,GB64CNVS98543534624751,4,202
10018,2024-05-04,617,6977,9,GB57OTSD18384251354278,2,256
10019,2025-01-29,877,2612,3,GB52JTZU80841241182449,3,565
10020,2024-07-21,373,6295,26,GB05WKGV48740164005242,5,573
10021,2025-02-12,489,8245,36,GB96ORWN80112805982620,2,494
10022,2024-08-28,350,6977,7,GB06LZBL33158692322602,3,359
10023,2025-02-11,489,8770,11,GB45KZNZ34216073375433,2,494
10024,2024-05-10,266,8486,8,GB25VGMK41458685014294,2,334
10025,2024-05-15,14,7947,8,GB36DTNL56981693406088,4,800
10026,2025-01-22,617,8381,3,GB40XXXV35615951484656,5,256
10027,2025-01-26,373,8486,3,GB92JREG66299468044369,4,573
10028,2024-12-22,384,4630,18,GB26UKOO73872148951343,2,455
10029,2025-03-10,617,7594,35,GB77GEAB37917693676320,5,256
10030,2025-04-12,733,1042,9,GB71YYDY63287083172788,4,444
10031,2024-12-18,171,3344,13,GB77KYOT86872774348734,2,496
10032,2024-10-18,754,8606,17,GB55CWJH45581223623166,1,301
10033,2024-09-06,14,7626,18,GB33RONB36690967054668,2,800
10034,2025-02-15,489,8245,36,GB61XRZT37346706562729,5,494
10035,2024-11-24,32,3344,11,GB68AMSS01627204653755,5,600
10036,2025-02-20,467,8606,10,GB84MIYN41708053100330,5,476
10037,2024-12-28,1,5831,14,GB22EHEP19374529912419,5,1200
10038,2024-05-10,617,7566,12,GB06JSVM63193149190586,1,256
10039,2025-01-12,833,4886,13,GB91LCQU50671657262849,4,370
10040,2025-03-10,1,6119,19,GB07RYPO69453147379965,5,1200
10041,2024-05-12,350,8606,10,GB69PKFP35454948083136,3,359
10042,2024-11-06,489,8606,15,GB96RYHW77701436349578,2,494
10043,2024-11-23,754,2612,1,GB94LNXR55744431351823,5,301
10044,2024-07-24,180,6295,12,GB07XPIX98941343524082,5,462
10045,2024-08-15,703,7511,10,GB02BBRJ27109477752047,1,736
10046,2024-06-14,877,4630,5,GB87CMPC90229413186999,2,565
10047,2024-07-27,14,8560,8,GB12YQMO74964990913341,1,800
10048,2024-06-30,32,6119,1,GB32HFRC20679740344713,1,600
10049,2025-04-24,733,7566,18,GB79IZZU93618324210249,2,444
10050,2025-02-15,266,7511,9,GB94SJOD74648877190659,2,334
10051,2024-08-06,617,8606,1,GB75ACHV99049027874296,4,256
10052,2025-01-02,792,6295,15,GB42PCPL65512567468071,2,295
10053,2024-08-31,373,4912,40,GB03IKDY68087603859770,3,573
10054,2024-07-19,467,4630,28,GB56IREJ77109324808613,4,476
10055,2025-03-23,64,8560,8,GB55DODU27484677378263,1,1400
10056,2025-04-24,703,3939,1,GB15TQXE14658404499727,5,736
10057,2024-11-26,132,2501,14,GB59PLKR86753396360576,1,202
10058,2024-09-27,32,8770,11,GB36VZUE70289517187026,2,600
10059,2025-04-04,32,4630,13,GB74UECP45961586578091,3,513.55
10060,2024-07-31,32,8606,11,GB09UVJH16117240050455,3,600
10061,2024-10-15,266,7511,4,GB31EHQN92221969379237,5,334
10062,2025-01-03,754,6119,6,GB14IOIV07482175946474,5,301
10063,2024-07-17,847,8560,8,GB16MPDH69594406409097,4,405
10064,2025-03-20,792,8438,34,GB63JYZH95339421047095,4,295
10065,2025-02-09,877,4886,12,GB34ECJK62328588424745,4,565
10066,2025-03-09,646,1841,32,GB48DOCE36851604817549,1,301
10067,2024-09-25,384,6119,22,GB25ULDV37098593174612,1,455
10068,2024-05-18,132,1018,7,GB59BJPD13826758692617,5,202
10069,2024-12-26,467,7594,35,GB37NIBW53773515850643,2,476
10070,2024-06-17,617,6977,8,GB16OCVG90053293183933,1,256
10071,2024-09-05,467,7947,25,GB15YEZT04228421020539,1,476
10072,2024-09-03,14,1710,2,GB62AFIB26811775891783,1,800
10073,2024-12-25,32,6295,12,GB09BXZV84700766177115,2,600
10074,2024-12-23,444,7511,13,GB47ECEI99856984789611,2,244
10075,2025-03-28,384,4630,13,GB32UUYR36736576615654,2,455
10076,2024-09-23,384,3939,1,GB09EVPC11161528098851,3,437.99
10077,2024-10-07,467,4912,40,GB97LVYN04945198327315,5,476
10078,2025-03-25,266,8770,9,GB62RLDY49368998094024,2,334
10079,2025-01-28,792,4912,40,GB83YJKL02296120183667,1,295
10080,2024-09-10,171,6119,3,GB66FLJX59910229014767,1,496
10081,2024-12-22,646,8486,5,GB14ONIG81561497840369,1,301
10082,2024-05-22,171,7511,3,GB76AGJG24451076226838,5,496
10083,2024-12-03,350,1841,2,GB76VZLC60607159696641,1,359
10084,2024-10-05,350,8381,33,GB86AKFZ97516136968164,1,359
10085,2025-02-14,266,7626,17,GB88KHKY21818835523124,4,334
10086,2024-07-16,64,4630,13,GB54FTEY12779979955271,2,1400
10087,2024-10-30,171,9850,17,GB48OUJZ49058147700541,5,496
10088,2025-01-06,32,4886,3,GB49CTTQ67980793597820,5,600
10089,2024-10-22,180,8486,6,GB14DZKW18203778892554,2,462
10090,2024-09-28,266,8770,23,GB43NYKV90515186449251,2,334
10091,2024-12-13,617,3344,10,GB77VELJ62914865281685,3,256
10092,2024-05-08,467,8486,8,GB27LJFG57332214188805,1,476
10093,2025-04-06,467,9850,6,GB26YTET62229270653794,1,476
10094,2025-02-17,32,7797,6,GB17XZOH83473597746886,5,600
10095,2024-07-02,617,7594,35,GB86GZTE40758181412478,1,256
10096,2024-06-27,132,2612,10,GB92NCHO50606853615305,2,228.69
10097,2025-04-27,467,3248,27,GB92DWUK22047277901043,3,476
10098,2025-03-21,396,7947,1,GB65ERXT86143410369711,1,596
10099,2025-03-21,266,3248,1,GB60PTRA89324609539621,3,334
10100,2024-11-20,266,8438,34,GB94LCQR88806706540515,3,334
10101,2024-08-02,64,4630,25,GB69XVUD95205852772217,5,1259
10102,2024-05-15,754,1042,9,GB17JGBZ30548687403450,5,301
10103,2025-04-02,792,8770,23,GB57UKID56676527758416,2,295
10104,2024-05-31,266,1710,11,GB26NTFR45115447962757,5,334
10105,2024-05-17,847,1042,39,GB72XLTN40165820297021,1,405
10106,2024-07-31,489,4886,1,GB38YULL69092755719285,1,494
10107,2024-10-02,1,8486,2,GB62KUIH10278681447394,3,1200
10108,2025-01-25,350,6119,21,GB27PGDE17271551884422,5,359
10109,2025-03-05,373,4886,6,GB96LQHD32370589578291,1,573
10110,2024-05-26,64,8381,33,GB45JMWX78669125177852,5,1400
10111,2025-04-06,14,3248,17,GB33YRUS22680182422535,5,800
10112,2025-05-01,733,7594,35,GB09QJCI38424981829922,2,444
10113,2025-01-11,14,4912,40,GB21TXTK90010943969078,1,800
10114,2024-08-21,877,1018,37,GB55UJPH64710276773592,1,565
10115,2024-08-30,877,7566,2,GB61WKXL62588153714732,4,565
10116,2024-06-07,396,6119,10,GB50BJMT63259532787747,2,596
10117,2024-05-10,350,7947,14,GB96CMQO33950047974801,4,359
10118,2024-10-15,1,8245,36,GB82EIXL65060983584168,4,1200
10119,2024-10-22,266,7626,16,GB85YRIT91216558523986,3,334
10120,2024-11-11,350,7947,3,GB33BBBE57872982595269,4,359
10121,2025-02-12,14,7626,20,GB71JSKQ88794705516940,2,800
10122,2024-12-18,792,3248,27,GB54PIUZ99309728962309,3,295
10123,2025-01-28,833,3248,18,GB15DGAO56263689702838,2,370
10124,2024-09-04,1,5831,4,GB66VPQM52785854973348,4,1200
10125,2024-08-24,703,1042,9,GB72HJYJ37575844198665,3,736
10126,2025-02-25,877,1710,9,GB81ZEJB41574733848421,4,565
10127,2024-12-26,266,3248,17,GB91XSHH08330165712082,3,334
10128,2024-10-06,1,8438,4,GB35UPPU34540193802620,2,1200
10129,2025-03-21,171,1042,39,GB98MZPF40049915478872,1,496
10130,2025-03-27,396,4886,4,GB87QOIG15274205493296,3,596
10131,2025-03-18,444,9850,17,GB40NQKC61227530463745,1,244
10132,2024-08-26,384,4630,8,GB45SXSA45301742684145,2,455
10133,2024-12-25,617,1841,32,GB44HHEP27956878339187,1,256
10134,2024-11-22,180,6295,15,GB64WLCS10883982258713,2,462
10135,2025-02-03,877,4886,7,GB76SPCQ70728679087406,3,565
10136,2024-08-07,396,8486,1,GB30AXGS10651801704622,3,515.99
10137,2025-02-22,180,4912,10,GB40UXUN56766182512868,3,462
10138,2024-06-19,384,8770,22,GB09XHAY04786863375243,5,455
10139,2025-04-30,754,1018,7,GB70XYDB69033119079030,4,360.08
10140,2024-10-04,266,6119,8,GB92OHRG02843959953428,5,334
10141,2024-07-25,171,4912,40,GB45NJIB89268705685662,5,496
10142,2024-08-25,1,4912,10,GB80MFYR73342708668826,2,1200
10143,2024-08-03,444,7947,13,GB09IGKU17518304699013,5,244
10144,2025-03-09,489,8486,11,GB45YSXV83735403317393,4,494
10145,2024-10-02,467,5831,21,GB25HRKY46785445877175,5,476
10146,2025-04-21,847,7947,7,GB28GLKN09320489964235,1,405
10147,2024-07-29,833,8606,8,GB74MSHP85477725228728,3,370
10148,2025-01-05,32,3248,20,GB48BQBC00623120387509,3,600
10149,2025-01-03,132,7947,23,GB92VTPV70088600848408,2,202
10150,2025-03-12,1,1841,32,GB75WVNZ21182339845461,4,1200
10151,2024-09-22,396,7626,21,GB43MOSH34101666870021,4,596
10152,2024-11-11,444,4630,9,GB23NUZK91803397401489,2,244
10153,2025-01-11,373,8770,13,GB31BFKA39261429396856,4,573
10154,2025-02-18,384,8560,8,GB92XEZW18501631599965,1,455
10155,2024-05-12,64,7566,9,GB58UIZO73586629619431,2,1400
10156,2024-06-01,350,7947,26,GB78IEMW26551104754121,4,359
10157,2024-07-12,14,7797,15,GB84NORR86101581995604,1,800
10158,2024-10-08,467,7594,35,GB27MYCX83982622444721,5,476
10159,2024-07-04,733,9850,16,GB91NINJ71543799371240,4,444
10160,2024-10-01,396,3248,22,GB93KTMZ57569245937526,4,596
10161,2024-09-01,733,6977,14,GB44JXWU79356465193982,4,444
10162,2025-01-20,467,1042,9,GB71YRAX73741672434266,3,476
10163,2024-05-29,180,7511,12,GB30OTPS68868058911352,3,462
10164,2025-01-07,467,8381,33,GB60TBSU65610143888993,2,476
10165,2024-10-21,617,8486,9,GB86LMOY98250714611254,5,256
10166,2024-09-11,32,7594,35,GB44OZGQ75717751401051,2,600
10167,2025-01-18,384,8770,7,GB29ZFXH82825867362266,2,455
10168,2024-05-12,32,4886,2,GB66XTGO96603341918255,3,600
10169,2024-07-16,733,6977,3,GB16ODIV78596969155792,1,444
10170,2025-03-13,792,3248,7,GB87VWZJ99125134125286,4,295
